,Close
0,49957.32
1,50025.34
2,49908.23
3,49899.35
4,50141.8
5,49850.74
6,50005.63
7,50229.87
8,50387.56
9,51779.71
10,51640.24
11,51836.06
12,51770.08
13,51657.91
14,51738.47
15,52503.99
16,52774.41
17,52375.5
18,51205.8
19,49141.6
20,47228.3
21,46894.71
22,47280.42
23,45286.15
24,46636.83
25,45685.95
26,46468.24
27,46791.24
28,46006.29
29,46281.57
30,46251.93
31,47121.06
32,46704.31
33,46632.2
34,46869.32
35,46581.25
36,46460.52
37,45205.04
38,45950.96
39,44490.25
40,45351.77
41,45348.55
42,45797.47
43,45768.26
44,45758.53
45,45224.04
46,45376.92
47,45212.4
48,46080.16
49,46059.15
50,46036.92
51,45755.64
52,45101.91
53,44911.58
54,44775.49
55,44031.72
56,44828.47
57,45141.83
58,45133.07
59,45433.96
60,46123.79
61,46756.26
62,46715.23
63,47285.92
64,47303.86
65,47049.65
66,47677.21
67,47889.57
68,48102.65
69,48375.02
70,48005.69
71,48415.97
72,48036.22
73,47656.88
74,47644.41
75,47685.49
76,47843.94
77,48047.36
78,47581.86
79,47528.28
80,47302.36
81,47127.66
82,47836.0
83,48770.25
84,48681.12
85,48543.35
86,48373.64
87,48142.16
88,48085.98
89,48129.82
90,48200.65
91,47751.94
92,47763.99
93,47039.26
94,46223.08
95,45761.02
96,44515.31
97,43876.61
98,43460.43
99,43248.0
100,43116.81
101,42956.43
102,43645.26
103,42393.02
104,42311.29
105,40639.95
106,42161.36
107,42351.73
108,42117.04
109,42514.54
110,43207.64
111,43583.39
112,43705.42
113,44323.02
114,43935.54
115,44331.58
116,44850.47
117,45167.71
118,44510.8
119,44306.12
120,42213.17
121,42570.53
122,42245.52
123,43185.54
124,42516.18
125,42863.7
126,42694.54
127,42450.08
128,42701.76
129,42891.65
130,42212.34
131,42088.34
132,43180.26
133,43430.46
134,43349.14
135,43087.02
136,44262.69
137,43882.54
138,43890.94
139,43218.75
140,43088.97
141,43312.49
142,42465.98
143,42309.73
144,41943.49
145,41669.46
146,41761.56
147,41754.66
148,41876.59
149,42426.58
150,42560.12
151,42322.15
152,41353.69
153,41537.91
154,43263.47
155,43542.51
156,43009.1
157,43072.11
158,44160.4
159,43851.27
160,43423.92
161,44097.63
162,47572.93
163,47030.86
164,47815.88
165,48084.33
166,47814.76
167,47823.17
168,47723.98
169,48172.78
170,47963.27
171,48222.55
172,47696.35
173,48115.35
174,47895.1
175,48051.37
176,48844.61
177,48004.65
178,47808.09
179,47834.88
180,47943.08
